step,overall_loss/train
1000,0.3004343509674072
2000,0.29474717378616333
3000,0.29149723052978516
4000,0.3307020664215088
5000,0.32780247926712036
6000,0.35644516348838806
7000,0.31627482175827026
8000,0.3012508749961853
9000,0.3835738003253937
10000,0.3951183557510376
11000,0.42100071907043457
12000,0.41601312160491943
13000,0.40701961517333984
14000,0.441129207611084
15000,0.3998209834098816
16000,0.40341055393218994
17000,0.38364508748054504
18000,0.45655423402786255
19000,0.3831998109817505
20000,0.37582606077194214
21000,0.3471022844314575
22000,0.4009820222854614
23000,0.3516766428947449
24000,0.4659802317619324
25000,0.37033987045288086
26000,0.40760642290115356
27000,0.36622822284698486
28000,0.4725520610809326
29000,0.3975628614425659
30000,0.42321527004241943
31000,0.36350899934768677
32000,0.3718954920768738
33000,0.34447598457336426
34000,0.35828322172164917
35000,0.3658517003059387
36000,0.33836549520492554
37000,0.34423285722732544
38000,0.37232762575149536
39000,0.33586978912353516
40000,0.34201347827911377
41000,0.3608242869377136
42000,0.3424108922481537
43000,0.34057241678237915
44000,0.33973389863967896
45000,0.3478429317474365
46000,0.3374820351600647
47000,0.33471226692199707
48000,0.34719693660736084
49000,0.338905930519104
50000,0.33497557044029236
51000,0.32299137115478516
52000,0.3366891145706177
53000,0.35013383626937866
54000,0.33288031816482544
55000,0.36216121912002563
56000,0.3247750401496887
57000,0.33450227975845337
58000,0.3247773051261902
59000,0.32175326347351074
60000,0.3283569812774658
61000,0.3213983476161957
62000,0.30851274728775024
63000,0.32958295941352844
64000,0.3239855170249939
65000,0.31683772802352905
66000,0.3211267590522766
67000,0.3422093391418457
68000,0.32194650173187256
69000,0.3323329985141754
70000,0.3174460530281067
71000,0.3294333219528198
72000,0.3207576274871826
73000,0.32570698857307434
74000,0.3242318034172058
75000,0.33924639225006104
76000,0.33479613065719604
77000,0.31311485171318054
78000,0.31618595123291016
79000,0.3251539170742035
80000,0.34129053354263306
81000,0.32057350873947144
82000,0.3282700777053833
83000,0.32027286291122437
84000,0.3376333713531494
85000,0.3256787061691284
86000,0.3247297704219818
87000,0.3244500756263733
88000,0.3135493993759155
89000,0.33237290382385254
90000,0.3226776123046875
91000,0.3315563201904297
92000,0.30492109060287476
93000,0.31548357009887695
94000,0.30660417675971985
95000,0.33112508058547974
96000,0.3410346210002899
97000,0.31410834193229675
98000,0.3206273913383484
99000,0.3355404734611511
100000,0.34581202268600464
